                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.63101,                0.43526,                0.94163,                0.97381,                0.98765,                0.98632,                0.84795,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     80,                0.60316,                 0.4287,                0.93861,                0.97432,                0.98765,                0.98606,                0.84789,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                     81,                0.59811,                0.42186,                0.93585,                0.98627,                0.98765,                 0.9865,                 0.8566,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     82,                0.56671,                 0.4244,                0.91443,                0.97178,                0.98765,                0.98683,                0.87513,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                     83,                0.57429,                0.40456,                0.92217,                0.97558,                 0.9864,                  0.986,                0.84724,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     84,                0.55927,                0.39547,                 0.9104,                0.98574,                0.98765,                0.98526,                 0.8563,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                     85,                0.56104,                  0.418,                 0.9209,                0.98481,                0.98765,                0.98677,                 0.8616,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     86,                0.54046,                 0.3987,                0.89191,                0.98764,                0.98669,                 0.9871,                0.86331,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     87,                0.57642,                0.39604,                 0.9237,                0.98762,                0.98466,                0.98718,                0.86253,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     88,                0.55851,                0.39304,                0.91063,                0.97292,                0.98765,                0.98675,                 0.8529,                      0,                    inf,                      0,               0.001387,               0.001387,               0.001387
                     89,                0.54005,                0.38595,                0.91011,                0.96223,                0.98765,                0.98671,                0.86536,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     90,                0.47752,                0.35319,                0.87024,                 0.9756,                0.98705,                0.98597,                0.85599,                      0,                    inf,                      0,               0.001189,               0.001189,               0.001189
                     91,                 0.4719,                0.34215,                0.86602,                0.97541,                0.98765,                0.98578,                0.85596,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     92,                0.49521,                0.34506,                0.86325,                 0.9756,                0.98765,                 0.9861,                0.85704,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                     93,                0.48803,                0.34491,                0.87577,                0.98747,                0.97308,                0.98598,                0.86354,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     94,                0.46576,                0.32858,                0.84491,                0.97154,                0.98765,                0.98603,                0.86292,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                     95,                0.45556,                0.33664,                0.85252,                0.97511,                0.98765,                0.98578,                0.87011,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     96,                0.43714,                0.31754,                0.86665,                0.97404,                0.98765,                0.98604,                0.87024,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                     97,                0.44068,                0.33038,                0.86039,                0.97384,                0.98765,                0.98592,                0.87029,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                     98,                0.44701,                 0.3246,                0.84346,                0.97387,                0.98765,                0.98583,                0.86857,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                     99,                0.44177,                0.31817,                0.83951,                0.98596,                0.98765,                0.98614,                0.86487,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
